tract2010,town,totalMathAvgScaleScoreZ-CSDE2013,totalReadAvgScaleScoreZ-CSDE2013,collegeZ-ACS0812,publicassistZ-ACS0812,povertyZ-ACS0812,unemploymentZ-ACS0812,owneroccupiedZ-ACS0812,vacancyZ-ACS0812,employment_access_index-LAIv2,job_diversity_index-LAIv2,jobchangeZ-ACS0812,crimeZ-UCR2010,index2014,level2014
704,Bridgeport,-1.812914943,-1.774407209,0.500128171,-0.822275985,-0.776557685,-0.39524703,-0.65774678,-2.546385763,0.342852215,0.37691678,-0.286137766,-1.032792511,-0.740380709,Very Low
705,Bridgeport,-1.812914943,-1.774407209,-0.755884982,-2.93625686,-2.750296728,-1.268910221,-1.954989519,-1.578372389,0.713641914,0.567310892,-0.286137766,-1.032792511,-1.239167527,Very Low
706,Bridgeport,-1.812914943,-1.774407209,-1.771356064,-2.003604995,-2.75300401,-1.891658296,-2.071675022,-0.038004203,0.862738099,0.513415418,-0.286137766,-1.032792511,-1.171616792,Very Low
709,Bridgeport,-1.812914943,-1.774407209,-1.992041061,-2.518027976,-2.870036728,-3.683400566,-1.484153071,-1.408531396,0.806499862,0.492696445,-0.286137766,-1.032792511,-1.46360391,Very Low
710,Bridgeport,-1.812914943,-1.774407209,-1.539558479,-1.416960472,-0.65976041,-3.053120889,-1.640980356,-0.409137391,0.631976826,0.103680622,-0.286137766,-1.032792511,-1.074176082,Very Low
711,Bridgeport,-1.812914943,-1.774407209,-1.582929277,-1.045504126,-1.234709416,-2.022695338,-1.240216615,-1.10347625,0.853032246,0.347088787,-0.286137766,-1.032792511,-0.994638535,Very Low
712,Bridgeport,-1.812914943,-1.774407209,-1.816273754,-2.123237496,-1.813916782,-1.038306181,-1.874471007,-0.857464415,0.892035985,0.422448227,-0.286137766,-1.032792511,-1.092953154,Very Low
713,Bridgeport,-1.812914943,-1.774407209,-2.157398924,-1.761672236,-1.390785938,-0.96596134,-1.980198913,-0.773510505,0.911481703,0.440917367,-0.286137766,-1.032792511,-1.048615101,Very Low
714,Bridgeport,-1.812914943,-1.774407209,-2.243711621,-0.794343483,-0.844121429,-0.100518542,-1.7053856,-1.205607764,0.975213785,0.618944172,-0.286137766,-1.032792511,-0.850481909,Very Low
716,Bridgeport,-1.812914943,-1.774407209,-2.142159631,-3.217799914,-3.972749352,-2.328877054,-2.568935327,-1.423785306,0.964173172,0.571672109,-0.286137766,-1.032792511,-1.585392811,Very Low
719,Bridgeport,-1.812914943,-1.774407209,-2.000131758,-1.902815159,-1.706017833,-0.983960628,-1.709945409,-0.912092983,0.772658734,0.566216782,-0.286137766,-1.032792511,-1.065195057,Very Low
720,Bridgeport,-1.812914943,-1.774407209,-1.221053756,-0.252323235,-0.994267913,-0.553560402,-0.863018246,-1.143352396,0.803746273,0.624138274,-0.286137766,-1.032792511,-0.708828652,Very Low
721,Bridgeport,-1.812914943,-1.774407209,0.128782951,0.073577467,0.127517761,0.644318734,-0.375479251,-0.201778844,0.615797106,0.326826503,-0.286137766,-1.032792511,-0.297224167,Low
722,Bridgeport,-1.812914943,-1.774407209,-1.237172165,0.352916739,-0.778378461,-1.189143481,-0.504353697,-0.722886991,0.431534738,0.513929056,-0.286137766,-1.032792511,-0.669983891,Very Low
723,Bridgeport,-1.812914943,-1.774407209,-1.361843433,-0.426715147,-0.54679976,-0.113371558,-0.623498334,-0.221547229,0.439846968,0.433718385,-0.286137766,-1.032792511,-0.610538545,Very Low
